staffpin,confirmation_date
00021223,1999-07-01
00021225,1999-07-01
00021227,1999-07-01
00021232,1999-07-01
00021243,1999-07-01
00021256,1999-07-01
00021259,1999-07-01
00021260,1999-07-01
00021267,1999-07-01
00021272,1999-07-01
00021273,1999-07-01
00021275,1999-07-01
00021281,1999-07-01
00021296,1999-07-01
00021301,1999-07-01
00021305,1999-07-01
00021306,1999-07-01
00021313,1999-07-01
00021314,1999-07-01
00021339,1999-07-01
00021343,1999-07-01
00021357,1999-07-01
00021376,1999-07-01
00021379,1999-07-01
00021382,1999-07-01
00021395,1999-07-01
00021400,1999-07-01
00021405,1999-07-01
00021416,1999-07-01
00021422,1999-07-01
00021427,1999-07-01
00021428,1999-07-01
00021429,1999-07-01
00021450,1999-07-01
00021482,1999-07-01
00021485,1999-07-01
00021505,1999-07-01
00021507,1999-07-01
00021520,1999-07-01
00021525,1999-07-01
00021530,1999-07-01
00021538,1999-07-01
00021547,1999-07-01
00021551,1999-07-01
00021552,1999-07-01
00021553,1999-07-01
00021555,1999-07-01
00021557,1999-07-01
00021567,1999-07-01
00021569,1999-07-01
00021572,1999-07-01
00021575,1999-07-01
00021579,1999-07-01
00021588,1999-07-01
00021592,1999-07-01
00021595,1999-07-01
00021610,1999-07-01
00021613,1999-07-01
00021617,1999-07-01
00021622,1999-07-01
00021630,1999-07-01
00021636,1999-07-01
00021637,1999-07-01
00021642,1999-07-01
00021644,1999-07-01
00021645,1999-07-01
00021650,1999-07-01
00021655,1999-07-01
00021663,1999-07-01
00021670,1999-07-01
00021671,1999-07-01
00021679,1999-07-01
00021686,1999-07-01
00021722,1999-07-01
00021730,1999-07-01
00021749,1999-07-01
00021755,1999-07-01
00021760,1999-07-01
00021765,1999-07-01
00021770,1999-07-01
00021774,1999-07-01
